name,latitude,longitude
California Caregivers Alliance,34.08235,-118.27203700000001
Herbarium,34.08853,-118.3446
MedMen Los Angeles - DTLA,34.0446,-118.25443999999999
HERB,34.0434989929199,-118.250205993652
Extra Special Delivery,34.167,-118.37364
Cannabis Cafe,34.092688,-118.344421
Kushfly,34.127617,-118.34671000000002
The Higher Path,34.1493390052598,-118.439874686508
Wellness Earth Energy Dispensary,34.1398523,-118.3834097
Green Earth Collective,34.12247,-118.21067
MedMen Los Angeles - LAX Airport,33.95765,-118.39575
Mecca Mid City,34.034446700000004,-118.3695938
MedMen Venice Beach - Abbot Kinney,33.99088,-118.46783
Buds & Roses,34.146006,-118.41769199999999
Exhalence LA,34.221854,-118.359567
California Cannabis Melrose,34.08318,-118.30991000000002
Exhale Med Center,34.089008,-118.37622900000001
Sweet Flower Melrose,34.083985,-118.3674
Organic CBD Nugs - Hemp Flower,34.03023147583008,-118.24201202392578
FireHaus,34.042108,-118.44162659999998
The High Note - Culver City,34.02582,-118.3607
MedMen Venice Beach - Lincoln Blvd,34.0008077,-118.466145
BARC Collective,34.07077,-118.37563999999999
MedMen Los Angeles - West Hollywood,34.0905911417357,-118.367290442404
Organic Kind,34.0770492553711,-118.25887298584
Mary Jane's Collective,34.083641799999995,-118.3072488
Cornerstone Wellness,34.1418972,-118.2220956
Sweet Flower Arts District,34.037440999999994,-118.232294
MMD - North Hollywood,34.1561,-118.36995
Universal Collective,34.1343,-118.36018999999999
MOTA Medicine Of The Angels,34.09284,-118.28034
Rose Collective,33.997927399999995,-118.474851
Ganjarunner,34.10161,-118.30206000000001
The Buddha Company - Arts District,34.030514000000004,-118.23083899999999
Top Shelf Marijuana Delivery,34.09431,-118.36153999999999
Sweet Flower,34.14178817,-118.387948
MedMen Los Angeles - Beverly Hills,34.0746620981703,-118.38371857828899
Kush Alley,34.222696104141995,-118.49788128528499
The Green Easy,34.076221000000004,-118.370504
The Healing Touch,34.164894,-118.52481200000001
Fast & Friendly Delivery Service,33.86491420000001,-118.3944767
Pot Valet,34.0115966796875,-118.468780517578
CAC Venice,34.002253100000004,-118.4691969
Green Angel,34.148844,-118.437367
Nugg,34.029109954834,-118.283065795898
The Kind Center,34.10657,-118.33032
The Reefinery,34.1796,-118.4577
Pine X Delivery,33.886116027831996,-118.405311584473
MMD HOLLYWOOD,34.098498799999994,-118.3297582
420 King Marijuana Delivery,34.094133356378606,-118.33981286315901
Sun Valley Caregivers,34.2380086,-118.3698842
Goddess Delivers,33.979079999999996,-118.25008999999999
La Brea Collective,34.0481326,-118.34765990000001
The Artist Tree,34.08784933,-118.37994233
Sunset Herbal Corner Dispensary,34.172473,-118.38241599999999
Alternative Herbal Health Services,34.090559999999996,-118.36021000000001
Golden Leaf Scientifics,34.0053558349609,-118.479789733887
Stiiizy,34.05253083,-118.23209167
Los Angeles Patients & Caregivers Group,34.090768880054696,-118.346886039038
Project Cannabis,34.164773,-118.367368
Hollywood High Grade,34.09108,-118.34312
Gradus by SOCC,34.1750832,-118.3804574
Fountain Of Wellbeing,34.2021534,-118.391379
Strain Balboa Caregivers,34.257670000000005,-118.60133
Treetop LA,34.07543,-118.22145
Cannary West,34.0373,-118.4327
LAX CC 21+,33.962012,-118.42083799999999
Luvbrite Delivery,34.01158,-118.49226999999999
Lit Co,34.03941,-118.2677
The Marijuana Factory,34.2369061,-118.5962604
Nugg Club,34.0115966796875,-118.468780517578
Foothill Wellness Center,34.247965,-118.28719299999999
The Balloon Room,34.045809000000006,-118.260598
LA Wonderland Marijuana Dispensary Recreational,34.033994,-118.26453400000001
Erba Markets,34.0281261,-118.45235927
Pineapple Express Delivers,34.4400287,-118.5914696
DELI by Caliva,33.87509,-118.13056933
Sweet Flower Westwood,34.05488,-118.441643
Best Buds Delivery,33.9556606,-118.416723
Smartweed,34.089529999999996,-118.30872
420 Pit Stop 15 Cap,34.18561033,-118.15120049999999
Emberz,34.211816999999996,-118.46279299999999
The Green Earth Farmacie,34.2117783364303,-118.462784255872
Green Cross of Torrance,33.831109000000005,-118.30872600000001
Divine Wellness Center,34.202434000000004,-118.59511499999999
Pineapple Express Delivers,34.0450286865234,-118.448593139648
Marina Caregivers,33.990839,-118.445826
Dr. Greenthumb’s,34.074670000000005,-118.22086000000002
Apothecary420,34.15312,-118.46892
The Buddha Company - DTLA,34.04139,-118.25348999999999
The Antidote,34.083363399999996,-118.3508367
420 Caregiver Sherman Oaks Dispensary,34.148959999999995,-118.43868
Serra Dispensary,34.07257,-118.36712
Project Cannabis,34.025806,-118.241626
The Farmacy Westwood,34.06113,-118.44765
TLC Collective,34.0177450381105,-118.198729850021
New Amsterdam Naturals - NNCC,34.02887,-118.3927
House of Flowers,34.064302000000005,-118.271492
LB Collective,33.87491,-118.17116999999999
The Medicine Woman,33.869240000000005,-118.14058999999999
Weed Way,34.248081,-118.284415
Ladera Holistic Care,33.988690000000005,-118.33738000000001
The Relief Collective,34.0511166,-118.3653043
Urban Treez,34.13963,-118.37872
Hollyweed,34.044442203096,-118.35261268453941
The Pottery,34.04502,-118.34853000000001
Pot Valet,34.0398292541504,-118.26854705810499
Westside Organic Delivery,34.0306434631348,-118.490600585938
Skyhigh LA,34.0598826107359,-118.215785399079
Silver Lake Caregivers Group,34.1070133,-118.25503521
LA Cannabis Co - Inglewood,33.98545,-118.31199
Happy Leaf Collective,34.04422,-118.43246
New Age Care Center,34.01078,-118.2796
HCMA,34.24088,-118.39001999999999
WHTC,34.136380200000005,-118.36213659999999
Limited Edition420 Delivery,34.0997886657715,-118.327217102051
Roots,34.201510999999996,-118.37201200000001
Natural Remedies Caregivers,34.087443,-118.309602
Los Angeles Variety Cannabis,34.0629758,-118.3627193
Green Door West Delivery,34.03722,-118.42126999999999
Eaze,33.99266,-118.4637
Amuse,33.9736289978027,-118.249893188477
Sherbinskis,34.077554,-118.36159199999999
American Eagle Collective,34.141769000000004,-118.221107
Calma West Hollywood Dispensary,34.09242667,-118.34441667
GREENWOLF LA,34.1256846,-118.2639331
Cannajuana Releaf,34.135259999999995,-118.24425
LA Cannabis Co - Los Angeles,34.0187479,-118.3193331
The Growcery,34.0511166,-118.3653043
Emjay,34.0656,-118.34983999999999
Rolling Loud 15 Cap,34.041270000000004,-118.16901000000001
420Bird,34.0522342,-118.24368490000002
Herbal Nature,34.0412657611647,-118.253331611495
Herbal Remedies Caregivers,34.295407,-118.41233999999999
Venice Medical Center,34.019607543945305,-118.39566040039062
DTPG Downtown Patient Group,34.026540000000004,-118.23878
KushCab Delivery,34.049009999999996,-118.28623
Uplyft LA,34.0448,-118.43220500000001
Firehouse 365,33.9829135,-118.1860701
University 20 Cap,34.020270000000004,-118.27578000000001
CBD on Abbot,33.988659999999996,-118.45258000000001
Pot Valet,34.2322723,-118.5792364
Cookies Melrose,34.08336,-118.37236999999999
Super Supreme OG,34.057903,-118.30183400000001
Compassion Union,34.0707703,-118.3756409
Da Green Corner,34.0293617248535,-118.285255432129
Westside Botanicals,33.998695,-118.4285243
The Pottery,34.03348,-118.47366000000001
Caliva Delivery,34.0656,-118.34983999999999
