Arrest Date,Time,Area Name,Age,Sex Code,Descent Code,Arrest Type Code,Charge Description,latitude,longitude,loja_0.5_milha,loja_1_milha,escola_0.5_milha,escola_1_milha
2019-03-09,2015.0,Hollywood,29,M,O,F,possession marijuana for sale,34.1016,-118.335,8,12,2,5
2019-03-09,2015.0,Hollywood,25,M,B,F,possession marijuana for sale,34.1016,-118.335,8,12,2,5
2019-04-21,2115.0,Wilshire,42,M,B,F,poss/sale marij ovr 21 employ per 20/belw,34.0838,-118.3614,3,13,4,8
2019-05-01,1045.0,Pacific,26,M,B,F,sale/trans >28.5g marijuana or >4g,33.9428,-118.4054,0,0,0,0
2019-05-01,5.0,N Hollywood,27,M,B,F,sale/trans >28.5g marijuana or >4g,34.1667,-118.3965,0,1,3,4
2018-09-19,1405.0,Pacific,21,M,B,F,transport/sell/furnish/etc marijuana,33.9433,-118.4072,0,0,0,0
2019-03-21,1300.0,Pacific,29,F,H,F,transport/sell/furnish/etc marijuana,33.9428,-118.4054,0,0,0,0
2019-04-07,800.0,Pacific,21,M,W,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2019-04-08,46.0,Pacific,30,M,H,F,transport/sell/furnish/etc marijuana,33.9432,-118.4013,0,0,0,0
2019-04-09,630.0,Pacific,26,M,B,F,transport/sell/furnish/etc marijuana,33.942,-118.4095,0,0,0,0
2019-04-10,1830.0,Pacific,32,M,B,F,transport/sell/furnish/etc marijuana,33.9432,-118.4013,0,0,0,0
2019-04-11,1615.0,Pacific,27,M,B,M,possess marijuana for sale,33.988,-118.4745,3,4,1,3
2019-04-18,1700.0,Pacific,24,M,B,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2019-04-27,930.0,Mission,31,M,B,F,transport/sell/furnish/etc marijuana,34.2688,-118.4559,0,0,1,5
2019-04-27,930.0,Pacific,28,M,B,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2019-05-02,830.0,Pacific,20,M,W,F,transport/sell/furnish/etc marijuana,33.942,-118.4095,0,0,0,0
2019-05-06,2030.0,Mission,38,M,H,M,possess marijuana for sale,34.2283,-118.4677,0,0,3,12
2019-05-06,1710.0,Southeast,24,F,H,M,possess marijuana for sale,33.9271,-118.2659,0,0,6,14
2019-05-07,605.0,Pacific,30,M,B,F,transport/sell/furnish/etc marijuana,33.942,-118.4095,0,0,0,0
2019-05-07,2050.0,Pacific,26,M,B,F,transport/sell/furnish/etc marijuana,33.9428,-118.4054,0,0,0,0
2019-05-10,1820.0,77th Street,27,M,O,F,transport/sell/furnish/etc marijuana,33.9486,-118.3094,1,2,2,10
2019-05-10,2030.0,Mission,41,F,O,F,possession marijuana for sale,34.3216,-118.4569,0,0,1,5
2019-05-16,1730.0,Topanga,18,M,B,I,smoke/ingest marijuana in public place,34.1578,-118.584,0,0,1,2
2019-05-09,148.0,Pacific,31,M,B,F,transport/sell/furnish/etc marijuana,33.9433,-118.4072,0,0,0,0
2019-05-14,1345.0,Newton,31,M,H,M,cultivating <6 marijuana plants,34.039,-118.2444,4,22,2,4
2019-05-14,1345.0,Newton,34,M,H,M,cultivating <6 marijuana plants,34.039,-118.2444,4,22,2,4
2019-05-14,1345.0,Newton,32,M,H,M,cultivating <6 marijuana plants,34.039,-118.2444,4,22,2,4
2019-05-14,1345.0,Newton,32,M,H,M,cultivating <6 marijuana plants,34.039,-118.2444,4,22,2,4
2019-05-16,1725.0,Southeast,19,M,B,M,possess 28.5 grams or less of marijuana,33.9439,-118.2346,0,0,4,18
2019-05-15,2110.0,West LA,22,M,B,M,possess marijuana for sale,34.0595,-118.3762,0,6,1,2
2019-05-15,1100.0,Pacific,31,M,W,F,transport/sell/furnish/etc marijuana,33.9428,-118.4054,0,0,0,0
2019-05-20,1750.0,Pacific,32,F,B,F,transport/sell/furnish/etc marijuana,33.9449,-118.4059,0,1,0,0
2019-05-17,820.0,Pacific,29,F,B,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2019-05-17,1445.0,Central,37,M,B,M,sale/offer to sell/transport marijuana,34.0547,-118.2505,2,15,2,14
2019-05-20,1030.0,Pacific,32,M,B,F,transport/sell/furnish/etc marijuana,33.9432,-118.4013,0,0,0,0
2019-05-19,2125.0,Central,22,M,O,F,transport/sell/furnish/etc marijuana,34.0363,-118.2672,5,13,3,17
2019-05-21,1130.0,Pacific,21,M,B,F,transport/sell/furnish/etc marijuana,33.942,-118.4095,0,0,0,0
2019-05-22,1845.0,Pacific,27,M,O,M,possess marijuana for sale,33.9947,-118.4805,1,7,0,2
2019-05-22,1845.0,Pacific,58,M,B,M,possess marijuana for sale,33.9947,-118.4805,1,7,0,2
2019-05-22,1200.0,Harbor,57,M,W,F,transport/sell/furnish/etc marijuana,33.7743,-118.2594,0,0,1,3
2019-05-22,1800.0,Southeast,27,F,H,M,possess marijuana for sale,33.9574,-118.2827,1,2,5,18
2019-03-13,2245.0,Southwest,25,M,B,F,transport/sell/furnish/etc marijuana,34.0364,-118.2964,0,6,4,13
2019-05-14,310.0,N Hollywood,48,M,W,F,possession marijuana for sale,34.143,-118.3727,1,7,2,2
2019-05-17,1649.0,Pacific,37,M,W,F,transport/sell/furnish/etc marijuana,33.9433,-118.4072,0,0,0,0
2019-05-26,2150.0,Pacific,27,M,B,F,transport/sell/furnish/etc marijuana,33.9449,-118.4059,0,1,0,0
2019-05-24,1800.0,Pacific,26,M,B,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2019-05-27,615.0,Pacific,24,M,H,F,transport/sell/furnish/etc marijuana,33.9433,-118.4072,0,0,0,0
2019-05-30,1245.0,Devonshire,48,M,H,M,possess marijuana for sale,34.2741,-118.5565,0,0,0,1
2019-05-26,705.0,Pacific,33,M,H,F,transport/sell/furnish/etc marijuana,33.942,-118.4095,0,0,0,0
2019-05-29,2155.0,Pacific,24,M,B,F,transport/sell/furnish/etc marijuana,33.9428,-118.4054,0,0,0,0
2019-05-26,913.0,Pacific,27,M,B,F,transport/sell/furnish/etc marijuana,33.9433,-118.4072,0,0,0,0
2019-02-23,225.0,Van Nuys,27,M,B,M,give/transport/etc < 28.5 grams marijuana,34.2049,-118.4313,0,0,0,4
2019-05-21,1645.0,Devonshire,37,M,H,M,possess marijuana for sale,34.2576,-118.5111,0,0,4,8
2019-05-26,1040.0,N Hollywood,37,M,B,F,possession marijuana for sale,34.1557,-118.3691,2,6,0,5
2019-05-27,1345.0,Pacific,23,M,B,M,possess marijuana for sale,33.944,-118.4073,0,1,0,0
2019-05-25,1606.0,Pacific,41,M,O,F,transport/sell/furnish/etc marijuana,33.9432,-118.4013,0,0,0,0
2019-06-04,1825.0,N Hollywood,30,M,O,F,transport/sell/furnish/etc marijuana,34.1973,-118.4116,0,0,2,5
2019-06-04,1425.0,Devonshire,27,M,O,M,possess marijuana for sale,34.2741,-118.5565,0,0,0,1
2019-06-03,1600.0,Newton,27,M,B,F,transport/sell/furnish/etc marijuana,33.9974,-118.2783,1,4,3,18
2019-06-01,930.0,Pacific,50,M,G,F,unlawfully plant/cultivate/etc marijuana,33.997,-118.4761,1,7,1,3
2019-05-12,1200.0,Central,29,M,H,F,transport/sell/furnish/etc marijuana,34.0471,-118.2474,10,18,0,5
2019-06-01,640.0,Pacific,26,M,B,F,transport/sell/furnish/etc marijuana,33.9432,-118.4013,0,0,0,0
2019-05-24,1750.0,Southwest,31,M,H,F,transport/sell/furnish/etc marijuana,34.0305,-118.2959,0,5,3,11
2019-06-05,1645.0,Southeast,25,M,H,M,possess marijuana for sale,33.9519,-118.2781,1,2,4,16
2019-06-08,1200.0,Pacific,31,F,W,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2016-04-21,1500.0,West Valley,16,M,H,M,poss of more than 28.5 grams of marijuana,34.2138,-118.5426,0,0,3,8
2019-06-04,2345.0,Hollywood,31,M,H,M,possess marijuana for sale,34.1006,-118.3417,2,15,2,4
2019-06-09,150.0,Mission,37,M,H,F,transport/sell/furnish/etc marijuana,34.2215,-118.4553,0,3,6,12
2019-06-08,45.0,Wilshire,28,M,O,F,transport/sell/furnish/etc marijuana,34.0649,-118.3614,1,12,1,2
2019-06-09,1935.0,Pacific,24,M,W,M,poss of more than 28.5 grams of marijuana,33.9449,-118.4059,0,1,0,0
2019-06-08,2200.0,Pacific,23,M,B,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2019-06-14,615.0,Pacific,36,F,B,F,transport/sell/furnish/etc marijuana,33.9451,-118.4029,0,1,0,0
2019-06-13,1700.0,Pacific,20,M,H,F,transport/sell/furnish/etc marijuana,33.9433,-118.4072,0,0,0,0
2019-06-13,1630.0,Pacific,19,M,O,F,transport/sell/furnish/etc marijuana,33.9433,-118.4072,0,0,0,0
2019-06-14,2230.0,Pacific,32,M,H,F,transport/sell/furnish/etc marijuana,33.943000000000005,-118.4035,0,0,0,0
2019-06-12,1825.0,Southeast,38,M,B,M,sale/offer to sell/transport marijuana,33.931,-118.287,0,1,2,7
2019-06-08,1300.0,Pacific,18,M,B,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2019-06-08,1300.0,Pacific,37,M,B,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2019-06-14,2230.0,West Valley,24,M,O,F,transport/sell/furnish/etc marijuana,34.1802,-118.5407,0,0,3,5
2019-06-15,1930.0,Pacific,41,M,B,F,possession marijuana for sale,33.9934,-118.46,2,9,3,6
2019-06-14,2230.0,West Valley,34,M,O,F,transport/sell/furnish/etc marijuana,34.1802,-118.5407,0,0,3,5
2019-06-14,944.0,Pacific,28,F,B,F,transport/sell/furnish/etc marijuana,33.9432,-118.4013,0,0,0,0
2019-06-11,1810.0,Pacific,35,M,B,F,transport/sell/furnish/etc marijuana,33.9451,-118.4029,0,1,0,0
2019-06-21,1110.0,Southeast,24,M,H,M,possess marijuana for sale,33.9265,-118.2739,0,0,4,13
2019-06-19,515.0,Pacific,20,M,B,F,transport/sell/furnish/etc marijuana,33.9449,-118.4059,0,1,0,0
2019-06-20,1800.0,Southeast,27,F,O,M,possess marijuana for sale,33.8817,-118.2891,2,2,1,4
2019-06-21,1110.0,Southeast,20,F,H,M,possess marijuana for sale,33.9265,-118.2739,0,0,4,13
2019-01-30,1910.0,Southwest,37,M,H,F,transport/sell/furnish/etc marijuana,34.0309,-118.3024,1,3,1,13
2019-05-30,630.0,Harbor,26,M,W,F,possession marijuana for sale,33.736,-118.2814,0,0,2,6
2019-06-21,1115.0,Southeast,19,F,H,M,possess marijuana for sale,33.9265,-118.2739,0,0,4,13
2019-06-21,1115.0,Southeast,24,F,H,M,possess marijuana for sale,33.9265,-118.2739,0,0,4,13
2019-06-21,1115.0,Southeast,26,M,H,M,possess marijuana for sale,33.9265,-118.2739,0,0,4,13
2019-06-23,2240.0,Central,33,M,B,F,unlawfully plant/cultivate/etc marijuana,34.0484,-118.2339,1,11,1,5
2019-06-23,1840.0,Hollenbeck,29,M,H,F,possession marijuana for sale,34.0432,-118.2085,0,1,7,18
2019-06-27,2355.0,Pacific,30,M,W,M,possess 28.5 grams or less of marijuana,33.9432,-118.4013,0,0,0,0
2019-06-23,1457.0,Pacific,28,M,B,F,transport/sell/furnish/etc marijuana,33.9451,-118.4029,0,1,0,0
2019-05-22,1200.0,Harbor,57,M,W,F,transport/sell/furnish/etc marijuana,33.7743,-118.2594,0,0,1,3
2019-06-27,1900.0,Central,35,M,H,F,possession marijuana for sale,34.046,-118.2509,10,19,1,5
2019-06-27,2255.0,Van Nuys,21,M,H,F,transport/sell/furnish/etc marijuana,34.2048,-118.4488,0,2,1,8
2019-06-27,1130.0,Hollywood,24,M,B,M,possess marijuana for sale,34.1,-118.3676,1,10,0,4
2019-06-30,1905.0,Pacific,33,M,H,F,transport/sell/furnish/etc marijuana,33.9433,-118.4072,0,0,0,0
2019-06-27,2130.0,Olympic,26,M,B,F,transport/sell/furnish/etc marijuana,34.0728,-118.2975,2,8,5,18
2019-07-01,1905.0,77th Street,34,M,H,M,poss of more than 28.5 grams of marijuana,33.9773,-118.2892,0,2,2,10
2019-06-27,2357.0,Olympic,25,M,B,F,possession marijuana for sale,34.0728,-118.2965,2,8,5,19
2019-07-02,2220.0,Pacific,25,M,B,F,transport/sell/furnish/etc marijuana,33.9431,-118.3743,0,0,1,1
2019-07-06,2236.0,Pacific,21,M,B,F,transport/sell/furnish/etc marijuana,33.9432,-118.4013,0,0,0,0
2019-07-06,1650.0,Pacific,23,M,B,M,possess marijuana for sale,33.9906,-118.4769,1,6,1,2
2019-07-07,1905.0,Pacific,23,M,B,M,possess marijuana for sale,33.9933,-118.4765,2,7,1,3
2019-07-07,1905.0,Pacific,22,F,H,M,possess marijuana for sale,33.9947,-118.4805,1,7,0,2
2019-07-12,2325.0,Hollywood,43,M,H,M,possess marijuana for sale,34.1016,-118.3401,1,15,2,4
2019-07-11,1830.0,Southeast,21,F,H,M,possess marijuana for sale,33.9563,-118.2915,0,1,6,14
2019-07-11,1640.0,77th Street,21,F,B,M,give/transport/etc < 28.5 grams marijuana,33.977,-118.309,1,4,1,6
2019-07-11,1830.0,Southeast,27,F,H,M,possess marijuana for sale,33.9563,-118.2915,0,1,6,14
2019-07-12,2250.0,Pacific,26,F,B,F,transport/sell/furnish/etc marijuana,33.9449,-118.4059,0,1,0,0
2019-07-10,1625.0,Pacific,23,M,H,F,transport/sell/furnish/etc marijuana,33.9433,-118.4072,0,0,0,0
2019-07-11,1830.0,Southeast,27,M,H,M,possess marijuana for sale,33.9563,-118.2915,0,1,6,14
2019-07-14,1755.0,Pacific,47,M,B,F,transport/sell/furnish/etc marijuana,33.9449,-118.4059,0,1,0,0
2019-07-17,2105.0,Central,36,M,W,F,possession marijuana for sale,34.0472,-118.2339,2,10,1,6
2019-07-17,1545.0,Pacific,27,M,O,F,transport/sell/furnish/etc marijuana,33.942,-118.4095,0,0,0,0
2019-07-19,1200.0,Pacific,31,M,B,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2019-07-18,1300.0,Pacific,39,M,W,M,sale/offer to sell/transport marijuana,33.9943,-118.461,2,8,2,7
2019-01-14,40.0,Pacific,26,M,B,F,transport/sell/furnish/etc marijuana,33.9317,-118.3741,0,0,0,0
